isin,legal_name_match,short_name
,Tata Consultancy Services Ltd,TCS
,ITC Ltd,ITC
,ITC Limited,ITC
,Oil & Natural Gas Corporation Ltd,ONGC
,GAIL (India) Ltd,GAIL
,NTPC Ltd,NTPC
,Bharat Petroleum Corporation Ltd,BPCL
,Hindustan Petroleum Corporation Ltd,HPCL
,Indian Oil Corporation Ltd,IOCL
,Larsen & Toubro Ltd,L & T
,Mahindra & Mahindra Ltd,M & M
,State Bank of India,SBI
,ICICI Bank Ltd,ICICI Bank
,HDFC Bank Ltd,HDFC Bank
,Punjab National Bank,PNB
,Bank of Baroda,BOB
,Steel Authority of India Ltd,SAIL
,NMDC Ltd,NMDC
,MRF Ltd,MRF
,Coal India Ltd,Coal India
,Power Grid Corporation of India Ltd,Power Grid
,IDFC First Bank Ltd,IDFC First
,Bharti Airtel Ltd,Bharti Airtel
,UltraTech Cement Ltd,UltraTech
